Speaker,Tweet
Trump,The current tax code is a burden on American taxpayers & harmful to job-creators. Americans need #TaxReform! More: http://45.wh.gov/sTqH9z 
Trump,"I am supportive of Lamar as a person & also of the process, but I can never support bailing out ins co's who have made a fortune w/ O'Care."
Trump,Democrat Congresswoman totally fabricated what I said to the wife of a soldier who died in action (and I have proof). Sad!
Trump,The NFL has decided that it will not force players to stand for the playing of our National Anthem. Total disrespect for our great country!
Trump,"As it has turned out, James Comey lied and leaked and totally protected Hillary Clinton. He was the best thing that ever happened to her!"
Trump,"The Democrats will only vote for Tax Increases. Hopefully, all Senate Republicans will vote for the largest Tax Cuts in U.S. history."
Trump,"...people not interviewed, including Clinton herself. Comey stated under oath that he didn't do this-obviously a fix? Where is Justice Dept?"
Trump,"Wow, FBI confirms report that James Comey drafted letter exonerating Crooked Hillary Clinton long before investigation was complete. Many.."
Trump,The most important truth our FOUNDERS understood was: FREEDOM is NOT a gift from Govt. FREEDOM is a GIFT from GOD.
Obama,"I'm grateful to @SenJohnMcCain for his lifetime of service to our country. Congratulations, John, on receiving this year's Liberty Medal."
Obama,Michelle & I are praying for the victims in Las Vegas. Our thoughts are with their families & everyone enduring another senseless tragedy.
Obama,Proud to cheer on Team USA at the Invictus Games today with my friend Joe. You represent the best of our country.
Obama,"We're expanding our efforts to help Puerto Rico & the USVI, where our fellow Americans need us right now. Join us at http://oneamericaappeal.org "
Obama,"Prosecutor, soldier, family man, citizen. Beau made us want to be better. What a legacy to leave. What a testament to @JoeBiden."
Obama,Thinking about our neighbors in Mexico and all our Mexican-American friends tonight. Cuidense mucho y un fuerte abrazo para todos.
Obama,"Coding is important – and fun. @CSforAll, thanks for your work to make sure every kid can compete in a high-tech, global economy."
Obama,Michelle and I want the @ObamaFoundation to inspire and empower people to change the world. Here's how we're getting started this fall.
Obama,We remember everyone we lost on 9/11 and honor all who defend our country and our ideals. No act of terror will ever change who we are.
Obama,Proud of these McKinley Tech students—inspiring young minds that make me hopeful about our future.